,Tweets Ago,Media,Tweet,Date,Compound,Positive,Negative,Neutral
53,54,BBC,"RT @BBCSport: It is turning into some #AusOpen for Kyle Edmund.

He faces either Nick Kyrgios or Grigor Dimitrov in the quarter-final.

Mor…",Sun Jan 21 09:56:46 +0000 2018,0.0,0.0,1.0,0.0
54,55,BBC,"RT @CBeebiesHQ: When the kids are #Uptooearly... 😳

They must just know it's #NationalHugDay!

@helloclangers https://t.co/L5grt62Yhd",Sun Jan 21 09:56:38 +0000 2018,0.0,0.0,1.0,0.0
55,56,BBC,"Where did Scots used to keep their oats? And who on earth is eggs ‘Benedict’? 

🥞🍳 Put your breakfast knowledge to… https://t.co/1vM255m4uJ",Sun Jan 21 09:00:10 +0000 2018,0.0,0.0,1.0,0.0
56,57,BBC,"#BTS superfan Stephanie moved from Scotland to South Korea for @BTS_twt! 

Here's the moment she got a message from… https://t.co/dTprcZhaG6",Sun Jan 21 08:33:01 +0000 2018,0.0,0.0,1.0,0.0
57,58,BBC,Congratulations! ❤️️ Alan Carr has got married to his long-term boyfriend Paul Drayton. https://t.co/k2igSd4aqI https://t.co/xZXGPiHlW4,Sat Jan 20 20:33:04 +0000 2018,0.636,0.23,0.77,0.0
58,59,BBC,Jamie Dornan reveals the very unsexy reality of shooting a certain 50 Shades scene. 😂 #TheGNShow https://t.co/x73MiFiqJl,Sat Jan 20 20:03:01 +0000 2018,0.2732,0.13,0.87,0.0
59,60,BBC,"💖 @LouisTomlinson has given $10,000 to a nine-year-old fan with cerebral palsy. https://t.co/U47EhngqhE https://t.co/Fvc53xGwLn",Sat Jan 20 19:33:03 +0000 2018,0.3182,0.173,0.827,0.0
60,61,BBC,"🤖 If transhumanists are right, we could be one of the last generations of humans to roam the planet. https://t.co/JH6PsmoLHK",Sat Jan 20 19:00:04 +0000 2018,0.0,0.0,1.0,0.0
61,62,BBC,Can't wait for the return of #CallTheMidwife? The cast and creator tell us why this week's storyline is so special.… https://t.co/Bq70sbx1k3,Sat Jan 20 18:35:19 +0000 2018,0.0,0.0,1.0,0.0
62,63,BBC,🔎🦋 Newly discovered fossils show that moths and butterflies have been on the planet for at least 200 million years!… https://t.co/j6QNTuh1kU,Sat Jan 20 18:00:06 +0000 2018,0.0,0.0,1.0,0.0
63,64,BBC,"🐼 'The panda’s outside looking in and it’s just the question mark, like, who’s really wild?' https://t.co/sw2Hla0adk",Sat Jan 20 17:14:01 +0000 2018,0.3612,0.143,0.857,0.0
64,65,BBC,💖 💍 🥂 @edsheeran has announced he's engaged to his long-time girlfriend Cherry Seaborn. https://t.co/O5SSRg1W5K https://t.co/ette2ILw0c,Sat Jan 20 16:44:04 +0000 2018,0.4019,0.184,0.816,0.0
65,66,BBC,"🇧🇬🐄 Not only is the history of yoghurt tied to Bulgaria, but Bulgaria's history and identity can be traced through… https://t.co/4QlCJ3DaLK",Sat Jan 20 16:00:06 +0000 2018,0.0,0.0,1.0,0.0
66,67,BBC,"If you like mystery, intrigue and plumbing, this is for you. 🕵🚰 https://t.co/4rSJrbeA61",Sat Jan 20 15:00:07 +0000 2018,0.3612,0.172,0.828,0.0
67,68,BBC,"🌬❄️ You may have heard the term 'wind chill', but do you know why the wind makes us feel colder?

@BBCWeather expla… https://t.co/cpXPJ0qyRq",Sat Jan 20 14:30:07 +0000 2018,0.0,0.0,1.0,0.0
68,69,BBC,"📸 For over a decade, British photographer @SimonCRoberts has taken pictures of events &amp; places that draw people tog… https://t.co/xpIMNApACl",Sat Jan 20 14:00:11 +0000 2018,0.0,0.0,1.0,0.0
69,70,BBC,🤖 #RobotWars judge @sethuvij says we’ve plenty to gain from relinquishing some control to the machines in our lives… https://t.co/bFLbO5pVET,Sat Jan 20 13:30:09 +0000 2018,0.5267,0.159,0.841,0.0
70,71,BBC,"How can you measure what makes a country great? 

Data aggregations like the Social Progress Index shape policy, he… https://t.co/PMXYl3UbrC",Sat Jan 20 13:00:06 +0000 2018,0.8555,0.37,0.63,0.0
71,72,BBC,"〰🤔〰 What are gravitational waves? 

📻 @BBCRadio4 provides a simple-ish explanation. 👉 https://t.co/cptvkKGNYy https://t.co/Nd6uwMFB6V",Sat Jan 20 12:31:04 +0000 2018,0.0,0.0,1.0,0.0
72,73,BBC,Is this the oldest tattoo shop in the world? https://t.co/3VKniXb1Cc,Sat Jan 20 12:00:05 +0000 2018,0.0,0.0,1.0,0.0
73,74,BBC,"🚜😂 Scotland has named its ice gritters Grittie McVittie, Ready Spready Go and Mr Plow. 

🗺 And you can track their… https://t.co/5nAoBBmh3i",Sat Jan 20 11:30:07 +0000 2018,0.3612,0.111,0.889,0.0
74,75,BBC,"This #PenguinAwarenessDay, see penguins like you have never seen them before. 🐧

Penguins - Spy in the Huddle |… https://t.co/5VN2HacGTc",Sat Jan 20 11:00:09 +0000 2018,0.3612,0.128,0.872,0.0
75,76,BBC,"🎶🌟🎤 @BBCR1's @AdeleRoberts explores the rise of K-Pop and meets the incredible @BTS_twt, the biggest band in the sc… https://t.co/obil37RDxO",Sat Jan 20 10:33:04 +0000 2018,0.0,0.0,1.0,0.0
76,77,BBC,"🚖❤️️ This little yellow car wants you to know that it's ok to talk about depression.
#BBCLikeMinds https://t.co/NcbzgCPQHH",Sat Jan 20 10:00:08 +0000 2018,-0.3612,0.1,0.731,0.169
77,78,BBC,RT @BBCBreakfast: Donkeys and humans have been working together for thousands of years. Now the animals are helping to emotionally carry pe…,Sat Jan 20 09:47:13 +0000 2018,0.296,0.095,0.905,0.0
78,79,BBC,"RT @BBCEarth: Incredible sunset and light on a forest walk through Loch Lomand, Scotland 
#EarthCapture by @chiaraguarino https://t.co/Nu5T…",Sat Jan 20 09:47:07 +0000 2018,0.0,0.0,1.0,0.0
79,80,BBC,"RT @BBCNewsround: Happy #PenguinAwarenessDay! 🐧🐧🐧
https://t.co/zx8xCnvYx9 https://t.co/nXgJAKBmWL",Sat Jan 20 09:47:02 +0000 2018,0.6114,0.4,0.6,0.0
80,81,BBC,RT @BBCFood: Who's having special breakfast today? https://t.co/Zo1gsOI3KX 🍳 https://t.co/HnYtWoAOWV,Sat Jan 20 09:46:57 +0000 2018,0.4019,0.252,0.748,0.0
81,82,BBC,🎬😂 The TV and movie extras that steal the limelight when they're not supposed to. https://t.co/3EYF9LsviZ https://t.co/sSjcPFtmjZ,Sat Jan 20 09:00:09 +0000 2018,-0.4939,0.0,0.833,0.167
82,83,BBC,"Photographer, Vasantha Yogananthan is remystifying the story of Ramayana, about the heroic Rama and his beloved wif… https://t.co/n772AEAjHn",Sat Jan 20 08:30:14 +0000 2018,0.7845,0.301,0.699,0.0
83,84,BBC,"🌺🍃🍊 @TheMontyDon discovers paradise gardens in Spain, Morocco and Iran and uncovers the influence they've had back… https://t.co/Yfu5HcI0g4",Fri Jan 19 20:03:05 +0000 2018,0.6369,0.198,0.802,0.0
84,85,BBC,"Industry insiders reveal how the music business really works. 🎶 🤝 ✨

Hits, Hype &amp; Hustle: An Insider's Guide to the… https://t.co/OGmGKJ9EC6",Fri Jan 19 19:33:03 +0000 2018,0.0,0.0,1.0,0.0
85,86,BBC,"You have the first kid and it's great... 

#LiveAtTheApollo https://t.co/D9ODkUmN7U",Fri Jan 19 19:00:11 +0000 2018,0.0,0.0,1.0,0.0
86,87,BBC,🙅🍻 'Thousands of Britons who don't drink that much anyway are currently enjoying a pretend battle with alcohol for… https://t.co/l27xc0Ukzj,Fri Jan 19 18:30:06 +0000 2018,0.1027,0.145,0.684,0.171
87,88,BBC,⚡️ Twitter users have been imagining how Hogwarts might look if it included more black characters.… https://t.co/oSue8TO5DF,Fri Jan 19 18:00:11 +0000 2018,0.0,0.0,1.0,0.0
88,89,BBC,😂 'The cone saved my life and I'd like to think it saved other lives too.' https://t.co/QE2adyrE4J,Fri Jan 19 17:30:09 +0000 2018,0.7964,0.384,0.616,0.0
89,90,BBC,"What makes the perfect pub? 🍻

📻 @BBCRadio4 explains how George Orwell invented the ideal drinking house. 👉… https://t.co/6w5nWHv0x1",Fri Jan 19 17:00:17 +0000 2018,0.7964,0.321,0.679,0.0
90,91,BBC,Scientists believe that the death of a large number of antelopes was triggered by environmental factors.… https://t.co/ItSxX2j9om,Fri Jan 19 16:33:28 +0000 2018,-0.5574,0.068,0.729,0.203
91,92,BBC,"🎶 💖 ""It's always fun working with @BTS_twt"". 

👞 ✨ @BBCR1's @AdeleRoberts meets the choreographer who has helped to… https://t.co/r8zmiF1uL9",Fri Jan 19 14:30:06 +0000 2018,0.5106,0.18,0.82,0.0
92,93,BBC,London has been lit up for the Lumiere festival! 💡 💖 🌟 https://t.co/UtQvM8axPg https://t.co/ycXU6T9HFh,Fri Jan 19 14:03:07 +0000 2018,0.5411,0.259,0.741,0.0
93,94,BBC,"Do you see yourself the way others see you? 👀

What happens in your head may have more of an effect on what you see… https://t.co/YZcgOt6FWm",Fri Jan 19 13:30:09 +0000 2018,0.0,0.0,1.0,0.0
94,95,BBC,🤖💿 The album that could change the way we think about AI and creativity. https://t.co/TkMPr4hCh4 https://t.co/wayYAqyIX5,Fri Jan 19 13:00:10 +0000 2018,0.3818,0.148,0.852,0.0
95,96,BBC,PSA: Valentine's Day is only a few weeks away! ❤️ https://t.co/oSFr2ZLBPw,Fri Jan 19 12:30:04 +0000 2018,0.0,0.0,1.0,0.0
96,97,BBC,What if the whole world used the same writing system? 📝 https://t.co/bV3XDLi6eI https://t.co/eqm1sUPit1,Fri Jan 19 12:00:10 +0000 2018,0.0,0.0,1.0,0.0
97,98,BBC,"The most moreish snack ever, these popcorn balls are squidged together with marshmallow and sprinkled with coffee.… https://t.co/MMA2YNq9u7",Fri Jan 19 11:03:03 +0000 2018,0.0,0.0,1.0,0.0
98,99,BBC,"🎶 ✨ @BBCR1's @AdeleRoberts tracks the rise of K-Pop and meets @BTS_twt, the biggest band in the scene. 

Watch on… https://t.co/REgXX05cyB",Fri Jan 19 10:42:03 +0000 2018,0.0,0.0,1.0,0.0
99,100,BBC,"RT @BBCBreakfast: Oh, hello there! 🐧
Pics: @AusAntarctic https://t.co/oIUadMixym",Fri Jan 19 10:26:34 +0000 2018,0.0,0.0,1.0,0.0
100,1,CBS,Baltimore @Ravens player Brandon Williams is a finalist in MVP: Most Valuable Performer! Watch him compete live and… https://t.co/NSNqmsmUSo,Sun Jan 21 23:30:01 +0000 2018,0.5697,0.178,0.822,0.0
101,2,CBS,"RT @CBSTweet: Thank you for voting #JonathanStewart of the @panthers into #MVPCBS, where he will be Playing Piano to win your vote for Most…",Sun Jan 21 22:55:34 +0000 2018,0.7964,0.278,0.722,0.0
102,3,CBS,🏆 Don’t miss the AFC Championship! Stream the Jacksonville Jaguars at New England Patriots LIVE today at 3:05PM ET… https://t.co/DEdEUxlVgQ,Sun Jan 21 14:16:30 +0000 2018,0.3802,0.146,0.78,0.073
103,4,CBS,"Witness the music legends that will go down in history. In one week, watch The 60th Annual #GRAMMYs Sunday, January… https://t.co/Cix3JRI7mS",Sun Jan 21 12:00:06 +0000 2018,0.0,0.0,1.0,0.0
104,5,CBS,New England @Patriots players Cody &amp; Jacob Hollister are finalists of MVP: Most Valuable Performer! Watch them show… https://t.co/9mnVw7WCW1,Sat Jan 20 23:43:46 +0000 2018,0.5697,0.17,0.83,0.0
105,6,CBS,"RT @CBSTweet: ""Always remember there's no place like first"" @Ravens running back @Budda03 is ready to put on his dance shoes for #MVPCBS! #…",Sat Jan 20 23:28:44 +0000 2018,0.4753,0.186,0.737,0.077
106,7,CBS,Carolina @Panthers player Jonathan Stewart is a finalist of MVP: Most Valuable Performer! Watch him compete on the… https://t.co/qhRjuRdRF2,Sat Jan 20 00:42:23 +0000 2018,0.5697,0.178,0.822,0.0
107,8,CBS,RT @CBSTweet: A special thank you from @Browns guard @kzeit70 on behalf of himself and his dog Amber for voting him into #MVPCBS! Don't mis…,Fri Jan 19 22:53:48 +0000 2018,0.6696,0.2,0.8,0.0
108,9,CBS,"Cast your vote for your favorite commercial now, then tune in to see which spot is named champion! Watch Super Bowl… https://t.co/2dGlQvBQED",Fri Jan 19 12:06:04 +0000 2018,0.902,0.369,0.631,0.0
109,10,CBS,Baltimore @Ravens running back Alex Collins (@Budda03) is one of the finalists of MVP: Most Valuable Performer! Wat… https://t.co/7RV0vMyg2F,Thu Jan 18 20:35:02 +0000 2018,0.5697,0.17,0.83,0.0
110,11,CBS,RT @CBSTweet: Let's go!!!! Thank you to the fans for voting in #BrandonWilliams from the @ravens! BrandonW_66 is ready to show off his sing…,Thu Jan 18 20:05:07 +0000 2018,0.7326,0.219,0.781,0.0
111,12,CBS,"#TBT to when @latelateshow's @JKCorden brought Carpool Karaoke to the #GRAMMYs with @JLo, @JohnLegend, @FaithHill a… https://t.co/MNqRh1rgIK",Thu Jan 18 19:04:56 +0000 2018,0.0,0.0,1.0,0.0
112,13,CBS,Find out if your top pick made it to the final round of MVP: Most Valuable Performer! Watch the finalists compete d… https://t.co/nhSJ1SDZDK,Thu Jan 18 18:29:17 +0000 2018,0.6689,0.207,0.793,0.0
113,14,CBS,"Country stars @brothersosborne, @ericchurch &amp; @marenmorris will perform a special tribute to honor the victims of t… https://t.co/m0zbaY6AH0",Thu Jan 18 14:45:10 +0000 2018,0.5574,0.266,0.631,0.104
114,15,CBS,.@ZaneLowe and @AppleMusic's latest #UpNext artist @stefflondon stop by the @LateLateShow tonight! https://t.co/q8EGVM5Bky,Thu Jan 18 02:28:47 +0000 2018,-0.3595,0.0,0.828,0.172
115,16,CBS,"When these #SuperBowlCommercials face off, who will win - Man or Beast? Watch all the memorable spots and cast your… https://t.co/Qbu0Ah0toB",Wed Jan 17 23:59:46 +0000 2018,0.5859,0.167,0.833,0.0
116,17,CBS,"2018 GRAMMY® nominee @LadyGaga is never afraid to push boundaries.

Watch her perform live at The 60th Annual… https://t.co/TqqoTcVs2i",Wed Jan 17 19:54:17 +0000 2018,0.0,0.0,1.0,0.0
117,18,CBS,#StrangeAngel Casting News: @rupertfriend joins the cast of the upcoming CBS All Access original drama series. Lear… https://t.co/xOq0SC6ove,Wed Jan 17 19:04:12 +0000 2018,0.3182,0.119,0.881,0.0
118,19,CBS,"You won't want to miss performances by @eltonofficial with @MileyCyrus, @U2, @samsmithworld, @kendricklamar &amp; more!… https://t.co/dCKkJIXQfZ",Wed Jan 17 14:52:00 +0000 2018,0.1316,0.102,0.826,0.072
119,20,CBS,Cast your vote now and see who will be named the winner of Super Bowl Greatest Commercials 2018! Tune in January 30… https://t.co/zUteavWdKi,Sun Jan 14 22:13:29 +0000 2018,0.9215,0.379,0.621,0.0
120,21,CBS,Baltimore @Ravens player Brandon Williams is a finalist in MVP: Most Valuable Performer! Watch him compete live and… https://t.co/NSNqmsmUSo,Sun Jan 21 23:30:01 +0000 2018,0.5697,0.178,0.822,0.0
121,22,CBS,"RT @CBSTweet: Thank you for voting #JonathanStewart of the @panthers into #MVPCBS, where he will be Playing Piano to win your vote for Most…",Sun Jan 21 22:55:34 +0000 2018,0.7964,0.278,0.722,0.0
122,23,CBS,🏆 Don’t miss the AFC Championship! Stream the Jacksonville Jaguars at New England Patriots LIVE today at 3:05PM ET… https://t.co/DEdEUxlVgQ,Sun Jan 21 14:16:30 +0000 2018,0.3802,0.146,0.78,0.073
123,24,CBS,"Witness the music legends that will go down in history. In one week, watch The 60th Annual #GRAMMYs Sunday, January… https://t.co/Cix3JRI7mS",Sun Jan 21 12:00:06 +0000 2018,0.0,0.0,1.0,0.0
124,25,CBS,New England @Patriots players Cody &amp; Jacob Hollister are finalists of MVP: Most Valuable Performer! Watch them show… https://t.co/9mnVw7WCW1,Sat Jan 20 23:43:46 +0000 2018,0.5697,0.17,0.83,0.0
125,26,CBS,"RT @CBSTweet: ""Always remember there's no place like first"" @Ravens running back @Budda03 is ready to put on his dance shoes for #MVPCBS! #…",Sat Jan 20 23:28:44 +0000 2018,0.4753,0.186,0.737,0.077
126,27,CBS,Carolina @Panthers player Jonathan Stewart is a finalist of MVP: Most Valuable Performer! Watch him compete on the… https://t.co/qhRjuRdRF2,Sat Jan 20 00:42:23 +0000 2018,0.5697,0.178,0.822,0.0
